"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","서비스_업종_코드","서비스_업종_코드_명","점포_수","유사_업종_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수","프랜차이즈_점포_수"
2019,1,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",3,3,0,0,0,0,0
2019,2,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",4,4,25,1,0,0,0
2019,3,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",4,4,25,1,25,1,0
2019,4,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",3,3,0,0,33,1,0
2020,1,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",3,3,0,0,0,0,0
2020,2,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",3,3,0,0,0,0,0
2020,3,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",3,3,0,0,0,0,0
2019,1,"R","전통시장",1001443,"강남시장_동작","CS100004","양식음식점",0,0,0,0,0,0,0
2019,2,"R","전통시장",1001443,"강남시장_동작","CS100004","양식음식점",0,0,0,0,0,0,0
2019,3,"R","전통시장",1001443,"강남시장_동작","CS100004","양식음식점",0,0,0,0,0,0,0
2019,4,"R","전통시장",1001443,"강남시장_동작","CS100004","양식음식점",0,0,0,0,0,0,0
2020,1,"R","전통시장",1001443,"강남시장_동작","CS100004","양식음식점",0,0,0,0,0,0,0
2020,2,"R","전통시장",1001443,"강남시장_동작","CS100004","양식음식점",0,0,0,0,0,0,0
2020,3,"R","전통시장",1001443,"강남시장_동작","CS100004","양식음식점",0,0,0,0,0,0,0
2019,1,"R","전통시장",1001443,"강남시장_동작","CS100005","제과점",1,1,0,0,0,0,0
2019,2,"R","전통시장",1001443,"강남시장_동작","CS100005","제과점",1,1,0,0,0,0,0
2019,3,"R","전통시장",1001443,"강남시장_동작","CS100005","제과점",1,1,0,0,0,0,0
2019,4,"R","전통시장",1001443,"강남시장_동작","CS100005","제과점",1,1,0,0,0,0,0
2020,1,"R","전통시장",1001443,"강남시장_동작","CS100005","제과점",1,1,0,0,0,0,0
2020,2,"R","전통시장",1001443,"강남시장_동작","CS100005","제과점",1,1,0,0,0,0,0
2020,3,"R","전통시장",1001443,"강남시장_동작","CS100005","제과점",1,1,0,0,0,0,0
2019,1,"R","전통시장",1001443,"강남시장_동작","CS100006","패스트푸드점",0,1,0,0,0,0,1
2019,2,"R","전통시장",1001443,"강남시장_동작","CS100006","패스트푸드점",0,1,0,0,0,0,1
2019,3,"R","전통시장",1001443,"강남시장_동작","CS100006","패스트푸드점",0,1,0,0,0,0,1
2019,4,"R","전통시장",1001443,"강남시장_동작","CS100006","패스트푸드점",0,1,0,0,0,0,1
2020,1,"R","전통시장",1001443,"강남시장_동작","CS100006","패스트푸드점",0,1,0,0,0,0,1
2020,2,"R","전통시장",1001443,"강남시장_동작","CS100006","패스트푸드점",0,1,0,0,0,0,1
2020,3,"R","전통시장",1001443,"강남시장_동작","CS100006","패스트푸드점",0,1,0,0,0,0,1
2019,1,"R","전통시장",1001443,"강남시장_동작","CS100007","치킨전문점",0,1,0,0,0,0,1
2019,2,"R","전통시장",1001443,"강남시장_동작","CS100007","치킨전문점",0,1,0,0,0,0,1
2019,3,"R","전통시장",1001443,"강남시장_동작","CS100007","치킨전문점",0,1,0,0,0,0,1
2019,4,"R","전통시장",1001443,"강남시장_동작","CS100007","치킨전문점",0,1,0,0,0,0,1
2020,1,"R","전통시장",1001443,"강남시장_동작","CS100007","치킨전문점",0,1,100,1,100,1,1
2020,2,"R","전통시장",1001443,"강남시장_동작","CS100007","치킨전문점",0,0,0,0,0,1,0
2020,3,"R","전통시장",1001443,"강남시장_동작","CS100007","치킨전문점",0,0,0,0,0,0,0
2019,1,"R","전통시장",1001443,"강남시장_동작","CS100008","분식전문점",3,3,0,0,0,0,0
2019,2,"R","전통시장",1001443,"강남시장_동작","CS100008","분식전문점",3,3,0,0,0,0,0
2019,3,"R","전통시장",1001443,"강남시장_동작","CS100008","분식전문점",3,3,0,0,0,0,0
2019,4,"R","전통시장",1001443,"강남시장_동작","CS100008","분식전문점",3,4,25,1,0,0,1
2020,1,"R","전통시장",1001443,"강남시장_동작","CS100008","분식전문점",3,4,0,0,0,0,1
2020,2,"R","전통시장",1001443,"강남시장_동작","CS100008","분식전문점",3,4,0,0,0,0,1
2020,3,"R","전통시장",1001443,"강남시장_동작","CS100008","분식전문점",3,3,33,1,67,2,0
2019,1,"R","전통시장",1001443,"강남시장_동작","CS100010","커피-음료",2,2,0,0,0,0,0
2019,2,"R","전통시장",1001443,"강남시장_동작","CS100010","커피-음료",2,2,0,0,0,0,0
2019,3,"R","전통시장",1001443,"강남시장_동작","CS100010","커피-음료",2,2,0,0,0,0,0
2019,4,"R","전통시장",1001443,"강남시장_동작","CS100010","커피-음료",1,2,0,0,0,0,1
2020,1,"R","전통시장",1001443,"강남시장_동작","CS100010","커피-음료",1,1,0,0,0,0,0
2020,2,"R","전통시장",1001443,"강남시장_동작","CS100010","커피-음료",1,1,0,0,0,0,0
2020,3,"R","전통시장",1001443,"강남시장_동작","CS100010","커피-음료",1,1,0,0,0,0,0
2019,1,"R","전통시장",1001450,"남성역골목시장","CS100001","한식음식점",16,16,6,1,19,3,0
2019,2,"R","전통시장",1001450,"남성역골목시장","CS100001","한식음식점",18,18,11,2,0,0,0
2019,3,"R","전통시장",1001450,"남성역골목시장","CS100001","한식음식점",19,19,5,1,0,0,0
2019,4,"R","전통시장",1001450,"남성역골목시장","CS100001","한식음식점",17,19,0,0,0,0,2
2020,1,"R","전통시장",1001450,"남성역골목시장","CS100001","한식음식점",16,19,5,1,5,1,3
2020,2,"R","전통시장",1001450,"남성역골목시장","CS100001","한식음식점",16,19,0,0,0,0,3
2020,3,"R","전통시장",1001450,"남성역골목시장","CS100001","한식음식점",15,18,0,0,6,1,3
2019,1,"R","전통시장",1001450,"남성역골목시장","CS100002","중식음식점",0,0,0,0,0,0,0
2019,2,"R","전통시장",1001450,"남성역골목시장","CS100002","중식음식점",0,0,0,0,0,0,0
2019,3,"R","전통시장",1001450,"남성역골목시장","CS100002","중식음식점",0,0,0,0,0,0,0
2019,4,"R","전통시장",1001450,"남성역골목시장","CS100002","중식음식점",0,0,0,0,0,0,0
2020,1,"R","전통시장",1001450,"남성역골목시장","CS100002","중식음식점",0,0,0,0,0,0,0
2020,2,"R","전통시장",1001450,"남성역골목시장","CS100002","중식음식점",0,0,0,0,0,0,0
2020,3,"R","전통시장",1001450,"남성역골목시장","CS100002","중식음식점",0,0,0,0,0,0,0
2019,1,"R","전통시장",1001450,"남성역골목시장","CS100003","일식음식점",1,1,0,0,0,0,0
2019,2,"R","전통시장",1001450,"남성역골목시장","CS100003","일식음식점",1,1,0,0,0,0,0
2019,3,"R","전통시장",1001450,"남성역골목시장","CS100003","일식음식점",1,1,0,0,0,0,0
2019,4,"R","전통시장",1001450,"남성역골목시장","CS100003","일식음식점",1,1,0,0,0,0,0
2020,1,"R","전통시장",1001450,"남성역골목시장","CS100003","일식음식점",1,1,0,0,0,0,0
2020,2,"R","전통시장",1001450,"남성역골목시장","CS100003","일식음식점",1,1,0,0,0,0,0
2020,3,"R","전통시장",1001450,"남성역골목시장","CS100003","일식음식점",1,1,0,0,0,0,0
2019,1,"R","전통시장",1001450,"남성역골목시장","CS100004","양식음식점",1,1,0,0,100,1,0
2019,2,"R","전통시장",1001450,"남성역골목시장","CS100004","양식음식점",1,1,0,0,0,0,0
2019,3,"R","전통시장",1001450,"남성역골목시장","CS100004","양식음식점",1,1,0,0,0,0,0
2019,4,"R","전통시장",1001450,"남성역골목시장","CS100004","양식음식점",1,1,0,0,0,0,0
2020,1,"R","전통시장",1001450,"남성역골목시장","CS100004","양식음식점",0,0,0,0,0,0,0
2020,2,"R","전통시장",1001450,"남성역골목시장","CS100004","양식음식점",1,1,100,1,0,0,0
2020,3,"R","전통시장",1001450,"남성역골목시장","CS100004","양식음식점",1,1,0,0,0,0,0
2019,1,"R","전통시장",1001450,"남성역골목시장","CS100005","제과점",4,5,0,0,0,0,1
2019,2,"R","전통시장",1001450,"남성역골목시장","CS100005","제과점",4,5,0,0,0,0,1
2019,3,"R","전통시장",1001450,"남성역골목시장","CS100005","제과점",4,5,0,0,0,0,1
2019,4,"R","전통시장",1001450,"남성역골목시장","CS100005","제과점",4,5,0,0,0,0,1
2020,1,"R","전통시장",1001450,"남성역골목시장","CS100005","제과점",4,5,0,0,0,0,1
2020,2,"R","전통시장",1001450,"남성역골목시장","CS100005","제과점",3,4,0,0,25,1,1
2020,3,"R","전통시장",1001450,"남성역골목시장","CS100005","제과점",2,3,0,0,33,1,1
2019,1,"R","전통시장",1001450,"남성역골목시장","CS100006","패스트푸드점",1,5,0,0,0,0,4
2019,2,"R","전통시장",1001450,"남성역골목시장","CS100006","패스트푸드점",1,5,0,0,0,0,4
2019,3,"R","전통시장",1001450,"남성역골목시장","CS100006","패스트푸드점",1,4,0,0,25,1,3
2019,4,"R","전통시장",1001450,"남성역골목시장","CS100006","패스트푸드점",1,4,0,0,0,0,3
2020,1,"R","전통시장",1001450,"남성역골목시장","CS100006","패스트푸드점",1,4,0,0,0,0,3
2020,2,"R","전통시장",1001450,"남성역골목시장","CS100006","패스트푸드점",1,4,0,0,0,0,3
2020,3,"R","전통시장",1001450,"남성역골목시장","CS100006","패스트푸드점",1,4,0,0,0,0,3
2019,1,"R","전통시장",1001450,"남성역골목시장","CS100007","치킨전문점",1,3,0,0,33,1,2
2019,2,"R","전통시장",1001450,"남성역골목시장","CS100007","치킨전문점",2,4,25,1,0,0,2
2019,3,"R","전통시장",1001450,"남성역골목시장","CS100007","치킨전문점",2,4,0,0,0,0,2
2019,4,"R","전통시장",1001450,"남성역골목시장","CS100007","치킨전문점",2,4,0,0,0,0,2
2020,1,"R","전통시장",1001450,"남성역골목시장","CS100007","치킨전문점",3,5,20,1,0,0,2
2020,2,"R","전통시장",1001450,"남성역골목시장","CS100007","치킨전문점",3,6,17,1,0,0,3
2020,3,"R","전통시장",1001450,"남성역골목시장","CS100007","치킨전문점",3,6,0,0,0,0,3
2019,1,"R","전통시장",1001450,"남성역골목시장","CS100008","분식전문점",8,9,0,0,11,1,1
2019,2,"R","전통시장",1001450,"남성역골목시장","CS100008","분식전문점",7,8,0,0,13,1,1
2019,3,"R","전통시장",1001450,"남성역골목시장","CS100008","분식전문점",7,8,0,0,0,0,1
2019,4,"R","전통시장",1001450,"남성역골목시장","CS100008","분식전문점",7,7,0,0,14,1,0
2020,1,"R","전통시장",1001450,"남성역골목시장","CS100008","분식전문점",8,8,13,1,0,0,0
2020,2,"R","전통시장",1001450,"남성역골목시장","CS100008","분식전문점",8,8,0,0,0,0,0
2020,3,"R","전통시장",1001450,"남성역골목시장","CS100008","분식전문점",9,9,22,2,11,1,0
2019,1,"R","전통시장",1001450,"남성역골목시장","CS100009","호프-간이주점",5,5,0,0,0,0,0
2019,2,"R","전통시장",1001450,"남성역골목시장","CS100009","호프-간이주점",5,5,0,0,0,0,0
2019,3,"R","전통시장",1001450,"남성역골목시장","CS100009","호프-간이주점",4,4,0,0,25,1,0
2019,4,"R","전통시장",1001450,"남성역골목시장","CS100009","호프-간이주점",4,4,0,0,0,0,0
2020,1,"R","전통시장",1001450,"남성역골목시장","CS100009","호프-간이주점",5,5,20,1,0,0,0
2020,2,"R","전통시장",1001450,"남성역골목시장","CS100009","호프-간이주점",5,5,0,0,0,0,0
2020,3,"R","전통시장",1001450,"남성역골목시장","CS100009","호프-간이주점",5,5,0,0,0,0,0
2019,1,"R","전통시장",1001450,"남성역골목시장","CS100010","커피-음료",4,5,0,0,40,2,1
2019,2,"R","전통시장",1001450,"남성역골목시장","CS100010","커피-음료",4,5,0,0,0,0,1
2019,3,"R","전통시장",1001450,"남성역골목시장","CS100010","커피-음료",4,5,0,0,0,0,1
2019,4,"R","전통시장",1001450,"남성역골목시장","CS100010","커피-음료",2,4,0,0,25,1,2
2020,1,"R","전통시장",1001450,"남성역골목시장","CS100010","커피-음료",2,4,0,0,0,0,2
2020,2,"R","전통시장",1001450,"남성역골목시장","CS100010","커피-음료",2,4,0,0,0,0,2
2020,3,"R","전통시장",1001450,"남성역골목시장","CS100010","커피-음료",2,4,0,0,0,0,2
2019,1,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",6,6,17,1,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",6,6,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",6,6,17,1,17,1,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",4,5,0,0,20,1,1
2020,1,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",4,5,0,0,0,0,1
2020,2,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",4,5,0,0,0,0,1
2020,3,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",5,6,17,1,0,0,1
2019,1,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2020,1,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2020,2,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2019,1,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",1,1,0,0,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",1,1,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",1,1,0,0,0,0,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",0,0,0,0,0,1,0
2020,1,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,1,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2020,2,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2019,1,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,3,0,0,0,0,2
2019,2,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,3,0,0,0,0,2
2019,3,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,3,0,0,0,0,2
2019,4,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,3,0,0,0,0,2
2020,1,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",3,5,0,0,0,0,2
2020,2,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,4,25,1,25,1,3
2020,3,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,3,0,0,33,1,2
2019,1,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,3,33,1,67,2,2
2019,2,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,3,0,0,0,0,2
2019,3,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,3,0,0,0,0,2
2019,4,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,3,0,0,0,0,2
2020,1,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,3,33,1,33,1,2
2020,2,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,2,0,0,50,1,1
2020,3,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,2,0,0,50,1,1
2019,1,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",3,3,0,0,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",3,3,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",3,3,0,0,0,0,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",3,3,0,0,0,0,0
2020,1,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",1,1,0,0,0,0,0
2020,2,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",3,3,33,1,0,0,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",2,2,0,0,50,1,0
2019,1,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2020,1,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2020,2,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2019,1,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,3,0,0,0,0,1
2019,2,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,3,0,0,0,0,1
2019,3,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,3,0,0,0,0,1
2019,4,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,3,33,1,33,1,1
2020,1,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,3,33,1,0,0,1
2020,2,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,2,0,0,50,1,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,2,0,0,0,0,0
2019,1,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2019,2,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2019,3,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2019,4,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2020,1,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2020,2,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2020,3,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2019,1,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2019,2,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2019,3,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2019,4,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2020,3,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2019,1,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,2,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,3,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,4,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,3,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,1,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,50,1,0,0,1
2019,2,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2019,3,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2019,4,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2020,1,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2020,2,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2020,3,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2019,1,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",1,2,50,1,0,0,1
2019,2,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",1,2,0,0,0,0,1
2019,3,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",1,2,0,0,0,0,1
2019,4,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",2,3,33,1,0,0,1
2020,1,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",2,3,0,0,0,0,1
2020,2,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",2,3,0,0,0,0,1
2020,3,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",2,3,0,0,0,0,1
2019,1,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",1,3,0,0,0,0,2
2019,2,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",1,3,0,0,0,0,2
2019,3,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",1,3,0,0,0,0,2
2019,4,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",0,2,0,0,0,0,2
2020,1,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",0,2,0,0,0,0,2
2020,2,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",0,2,0,0,0,0,2
2020,3,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",0,2,0,0,0,0,2
2019,1,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2019,2,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2019,3,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2019,4,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2020,3,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2019,1,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",2,3,0,0,0,0,1
2019,2,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",2,3,0,0,0,0,1
2019,3,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",1,2,0,0,50,1,1
2019,4,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",1,2,0,0,0,0,1
2020,1,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",1,1,0,0,100,1,0
2020,2,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",1,1,0,0,0,0,0
2020,3,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",1,1,0,0,0,0,0
2019,1,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",1,1,0,0,0,0,0
2019,2,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",3,3,67,2,0,0,0
2019,3,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",3,3,0,0,0,0,0
2019,4,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",3,3,0,0,0,0,0
2020,1,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",3,3,0,0,0,0,0
2020,2,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",2,2,0,0,50,1,0
2020,3,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",2,2,0,0,0,0,0
2019,1,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
2019,2,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
2019,3,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
2019,4,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
