"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
2019,1,"R","전통시장",1001450,"남성역골목시장",30,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2
2019,2,"R","전통시장",1001450,"남성역골목시장",30,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2
2019,3,"R","전통시장",1001450,"남성역골목시장",30,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2
2019,4,"R","전통시장",1001450,"남성역골목시장",30,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2
2020,1,"R","전통시장",1001450,"남성역골목시장",30,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2
2020,2,"R","전통시장",1001450,"남성역골목시장",30,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2
2020,3,"R","전통시장",1001450,"남성역골목시장",30,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2
2019,1,"A","골목상권",1000747,"사당로16가길",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2019,2,"A","골목상권",1000747,"사당로16가길",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2019,3,"A","골목상권",1000747,"사당로16가길",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2019,4,"A","골목상권",1000747,"사당로16가길",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2020,1,"A","골목상권",1000747,"사당로16가길",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2020,2,"A","골목상권",1000747,"사당로16가길",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2020,3,"A","골목상권",1000747,"사당로16가길",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2019,1,"A","골목상권",1000750,"사당로23길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2019,2,"A","골목상권",1000750,"사당로23길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2019,3,"A","골목상권",1000750,"사당로23길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2019,4,"A","골목상권",1000750,"사당로23길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2020,1,"A","골목상권",1000750,"사당로23길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2020,2,"A","골목상권",1000750,"사당로23길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2020,3,"A","골목상권",1000750,"사당로23길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2019,1,"A","골목상권",1000751,"사당로23나길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,2,"A","골목상권",1000751,"사당로23나길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,3,"A","골목상권",1000751,"사당로23나길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,4,"A","골목상권",1000751,"사당로23나길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2020,1,"A","골목상권",1000751,"사당로23나길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2020,2,"A","골목상권",1000751,"사당로23나길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2020,3,"A","골목상권",1000751,"사당로23나길",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,1,"A","골목상권",1000753,"사당로29길",11,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1
2019,2,"A","골목상권",1000753,"사당로29길",11,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1
2019,3,"A","골목상권",1000753,"사당로29길",11,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1
2019,4,"A","골목상권",1000753,"사당로29길",11,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1
2020,1,"A","골목상권",1000753,"사당로29길",11,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1
2020,2,"A","골목상권",1000753,"사당로29길",11,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1
2020,3,"A","골목상권",1000753,"사당로29길",11,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1
2019,1,"A","골목상권",1000754,"사당로2차길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2019,2,"A","골목상권",1000754,"사당로2차길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2019,3,"A","골목상권",1000754,"사당로2차길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2019,4,"A","골목상권",1000754,"사당로2차길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2020,1,"A","골목상권",1000754,"사당로2차길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2020,2,"A","골목상권",1000754,"사당로2차길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2020,3,"A","골목상권",1000754,"사당로2차길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2019,1,"A","골목상권",1000756,"사당로8길",13,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,2,"A","골목상권",1000756,"사당로8길",13,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,3,"A","골목상권",1000756,"사당로8길",13,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,4,"A","골목상권",1000756,"사당로8길",13,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2020,1,"A","골목상권",1000756,"사당로8길",13,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2020,2,"A","골목상권",1000756,"사당로8길",13,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2020,3,"A","골목상권",1000756,"사당로8길",13,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,1,"A","골목상권",1000758,"상도로37길",12,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2019,2,"A","골목상권",1000758,"상도로37길",12,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2019,3,"A","골목상권",1000758,"상도로37길",12,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2019,4,"A","골목상권",1000758,"상도로37길",12,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,1,"A","골목상권",1000758,"상도로37길",12,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,2,"A","골목상권",1000758,"상도로37길",12,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,3,"A","골목상권",1000758,"상도로37길",12,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2019,1,"A","골목상권",1000759,"상도로47길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
2019,2,"A","골목상권",1000759,"상도로47길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
2019,3,"A","골목상권",1000759,"상도로47길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
2019,4,"A","골목상권",1000759,"상도로47길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
2020,1,"A","골목상권",1000759,"상도로47길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
2020,2,"A","골목상권",1000759,"상도로47길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
2020,3,"A","골목상권",1000759,"상도로47길",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
2019,1,"A","골목상권",1000760,"상도로61길",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,2
2019,2,"A","골목상권",1000760,"상도로61길",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,2
2019,3,"A","골목상권",1000760,"상도로61길",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,2
2019,4,"A","골목상권",1000760,"상도로61길",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,2
2020,1,"A","골목상권",1000760,"상도로61길",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,2
2020,2,"A","골목상권",1000760,"상도로61길",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,2
2020,3,"A","골목상권",1000760,"상도로61길",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,2
2019,1,"A","골목상권",1000761,"상도로62길",29,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,4
2019,2,"A","골목상권",1000761,"상도로62길",29,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,4
2019,3,"A","골목상권",1000761,"상도로62길",29,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,4
2019,4,"A","골목상권",1000761,"상도로62길",29,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,4
2020,1,"A","골목상권",1000761,"상도로62길",29,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,4
2020,2,"A","골목상권",1000761,"상도로62길",29,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,4
2020,3,"A","골목상권",1000761,"상도로62길",29,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,4
2019,1,"R","전통시장",1001444,"상도전통시장",19,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2
2019,2,"R","전통시장",1001444,"상도전통시장",19,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2
2019,3,"R","전통시장",1001444,"상도전통시장",19,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2
2019,4,"R","전통시장",1001444,"상도전통시장",19,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2
2020,1,"R","전통시장",1001444,"상도전통시장",19,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2
2020,2,"R","전통시장",1001444,"상도전통시장",19,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2
2020,3,"R","전통시장",1001444,"상도전통시장",19,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2
2019,1,"A","골목상권",1000762,"서달로10길",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2,"A","골목상권",1000762,"서달로10길",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,3,"A","골목상권",1000762,"서달로10길",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,4,"A","골목상권",1000762,"서달로10길",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,"A","골목상권",1000762,"서달로10길",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,"A","골목상권",1000762,"서달로10길",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,3,"A","골목상권",1000762,"서달로10길",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,1,"A","골목상권",1000763,"서달로14길",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2,"A","골목상권",1000763,"서달로14길",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,3,"A","골목상권",1000763,"서달로14길",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,4,"A","골목상권",1000763,"서달로14길",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,"A","골목상권",1000763,"서달로14길",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,"A","골목상권",1000763,"서달로14길",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,3,"A","골목상권",1000763,"서달로14길",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,1,"A","골목상권",1000764,"서달로15길",26,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,2,"A","골목상권",1000764,"서달로15길",26,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,3,"A","골목상권",1000764,"서달로15길",26,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,4,"A","골목상권",1000764,"서달로15길",26,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2020,1,"A","골목상권",1000764,"서달로15길",26,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2020,2,"A","골목상권",1000764,"서달로15길",26,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2020,3,"A","골목상권",1000764,"서달로15길",26,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2019,1,"A","골목상권",1000765,"서달로8가길",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2019,2,"A","골목상권",1000765,"서달로8가길",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2019,3,"A","골목상권",1000765,"서달로8가길",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2019,4,"A","골목상권",1000765,"서달로8가길",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2020,1,"A","골목상권",1000765,"서달로8가길",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2020,2,"A","골목상권",1000765,"서달로8가길",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2020,3,"A","골목상권",1000765,"서달로8가길",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
2019,1,"A","골목상권",1000778,"흑석로13길",11,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
2019,2,"A","골목상권",1000778,"흑석로13길",11,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
2019,3,"A","골목상권",1000778,"흑석로13길",11,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
2019,4,"A","골목상권",1000778,"흑석로13길",11,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
2020,1,"A","골목상권",1000778,"흑석로13길",11,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
2020,2,"A","골목상권",1000778,"흑석로13길",11,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
2020,3,"A","골목상권",1000778,"흑석로13길",11,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
2019,1,"A","골목상권",1000779,"흑석로9길",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
2019,2,"A","골목상권",1000779,"흑석로9길",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
2019,3,"A","골목상권",1000779,"흑석로9길",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
2019,4,"A","골목상권",1000779,"흑석로9길",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
2020,1,"A","골목상권",1000779,"흑석로9길",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
2020,2,"A","골목상권",1000779,"흑석로9길",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
2020,3,"A","골목상권",1000779,"흑석로9길",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
2019,1,"R","전통시장",1001448,"흑석시장",25,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3
2019,2,"R","전통시장",1001448,"흑석시장",25,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3
2019,3,"R","전통시장",1001448,"흑석시장",25,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3
2019,4,"R","전통시장",1001448,"흑석시장",25,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3
2020,1,"R","전통시장",1001448,"흑석시장",25,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3
2020,2,"R","전통시장",1001448,"흑석시장",25,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3
2020,3,"R","전통시장",1001448,"흑석시장",25,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3
